"{20195, 142.50954282833, 122.143577063793, 107.090471933482, 3.91610809374664, 8.53572824167206, 6290.5374023074, 66.404854749357, 94.7300830044855, 7.42397264174355, 19.9118485338668, 147.340086235185, 21.6554385127219, 276.805683257921, 1.15394129793182, 11.5382590380203, 85.9459907621872, 84.9042192416066, 1.79641667007697, 0.164585122887424, 24.7120622937129, 0.031624568790807, 500.263850837935}","{40355, 132.838350081618, 113.141136173947, 98.5823258943638, 3.07500971122277, 7.26321380544707, 6090.07677509957, 64.2243360137378, 94.8250640348681, 7.45364589283018, 17.8355025692365, 148.318664721316, 15.3696758881457, 283.561722410849, 1.04488071634645, 10.4477622827482, 85.474412902269, 84.1116236958748, 1.6668068122451, 0.147669311239643, 23.576721338434, 0.0233050252369433, 493.607704678553}"
"{20195, 138.832214120024, 121.534387545527, 108.749037468725, 1.80141302184813, 7.16783543098039, 5366.77347894773, 56.4009423584113, 95.1539682589604, 7.42326519239903, 18.1020476319597, 144.329984483766, 8.87970341968659, 323.756369233872, 1.59520012067824, 15.9504060066617, 83.9285960676971, 80.679682945838, 1.63486059440456, 0.169094982804994, 25.5997795177357, 0.0324157146934363, 561.974786790058}","{40355, 126.502503027226, 111.670707394216, 100.708075839382, 0.423022804563998, 5.02185512004542, 4771.12827872254, 48.3602519060091, 98.6580526502528, 7.45824128332508, 13.6853110511425, 141.016291270322, 3.02169988841729, 359.944589155572, 1.83649152232432, 18.3630787317209, 73.816955787336, 66.0317649429784, 1.12390446563696, 0.138204690960955, 21.0833022665118, 0.022162189948725, 656.77968547961}"
"{20195, 141.708145971211, 123.896680322568, 110.731683973572, 2.410348250162, 6.77696312888192, 5508.40575825585, 58.075703501906, 94.8487134223879, 7.41788050485577, 18.7380829415899, 144.951506232423, 5.50473507028788, 299.037802031166, 1.29142048134688, 12.9129133929875, 84.2083430063855, 81.2774432260489, 1.76368272930864, 0.16705352180693, 25.986353079215, 0.0340962495832761, 525.740429912096}","{40355, 126.675498065458, 112.097133263607, 101.321820149195, 0.517105501307265, 4.26148810512468, 4725.86132201831, 47.533920480008, 99.4208193705783, 7.45848130837095, 13.8867970023168, 141.950876527897, 1.54376590339057, 324.907513210451, 1.34919581025889, 13.4906089067786, 69.4527784983359, 62.6730449925895, 1.10405617297527, 0.145119919928982, 21.4473742282888, 0.0222312749193818, 686.942656677575}"
"{20195, 141.332067913985, 124.319852903197, 111.745607025659, 1.73099892781858, 6.39920142607361, 5287.66640538094, 55.4696830887964, 95.3253400946313, 7.42419330494727, 18.2330798317469, 144.423640789347, 3.17487622341979, 312.254066812189, 1.30269330684, 13.0256303750931, 79.6351253692961, 76.8810008921424, 1.55377636788741, 0.165162987695201, 25.515189218094, 0.0319415448141255, 584.337633245763}","{40355, 120.966924746704, 109.516171662569, 101.052571556905, -0.931288856610519, 2.80114255493211, 3812.35300827989, 37.3360931720075, 102.109050101101, 7.4561011688413, 12.7485419629044, 136.719408459351, 0.251220735121384, 384.631424652421, 1.50163415322323, 15.0148398980791, 51.4756081374356, 45.3107832215666, 0.645214195641137, 0.139356054902378, 20.4660676001944, 0.0227955698082165, 1115.4981691943}"
"{20195, 144.903620286851, 126.426544090605, 112.769574728161, 2.41897998692869, 7.02844099927727, 5714.22740924939, 60.2459797482833, 94.8482775634869, 7.41824148999216, 19.0783263100042, 145.405485258237, 6.85135368567836, 298.507806484403, 1.28385892686427, 12.8373054097159, 86.6174350861291, 85.3119778745242, 1.688172903277, 0.165261667068581, 25.3429883142747, 0.0339511608866767, 541.192761655387}","{40355, 131.567837946516, 114.553805468634, 101.978216245851, 1.42422261222585, 5.3774554540784, 5310.55052111472, 55.4756090851293, 95.7276649809376, 7.45684860313474, 15.7474660026021, 145.242848208113, 3.14944017795268, 313.982301956747, 1.2494548564687, 12.4932991098305, 80.4694740532999, 73.6224820134266, 1.46499321269158, 0.14763962356441, 21.0263169482582, 0.0228242179917065, 525.750933942061}"
"{20195, 143.792558838772, 125.913703921039, 112.698898112279, 2.00607250617779, 7.33787539537857, 5555.73807246402, 58.2954315853873, 95.3031467710527, 7.42499973080513, 18.6985880546475, 145.12991884934, 4.17641160351967, 295.227922617806, 1.08489109086001, 10.8478260175092, 81.4844112491039, 78.8473896755843, 1.55610757363729, 0.16719444305655, 25.1644937921228, 0.0317253619548982, 583.00654733842}","{40355, 128.401738112918, 114.886561131522, 104.897082493099, -0.207325363875828, 4.2511959109183, 4532.52990236521, 44.0673118445577, 102.854694617025, 7.45978193264473, 13.4726226543532, 139.551481966432, 0.696355646196142, 332.590960203004, 1.17717438718989, 11.7705666975117, 63.5308548415983, 57.2387428318725, 0.779093302144373, 0.145357497186484, 23.1304697157225, 0.021985519867682, 1002.73327415533}"
"{20195, 142.907470148026, 125.674988812383, 112.937937390385, 1.70261694381482, 6.65114612574109, 5425.25683250218, 56.1878789984507, 96.5556438364897, 7.43312262311216, 18.6156847143878, 147.166921532279, 4.377423353129, 272.385884416571, 1.12042406533821, 11.2031202293167, 73.1373231097545, 67.1876913748531, 2.10660779689863, 0.164480558039218, 28.6217656722738, 0.0289798097643073, 452.459466691753}","{40355, 117.638059285699, 105.68977461179, 96.8584337658563, -0.86620927669297, 2.84739201165295, 3919.66863208655, 38.958334578786, 100.61181193872, 7.47859992160582, 12.411110550225, 142.619275407593, 0.408216761812632, 275.161289564603, 0.894863606697748, 8.94774120337079, 36.4535921827677, 32.8750701823824, 1.88292356646437, 0.163042054483452, 18.0650245433778, 0.0184802970362605, 383.545457269717}"
"{20195, 141.710475229851, 124.778362566932, 112.263322772601, 2.02804234715853, 6.16497563667511, 5229.86395032036, 55.2085029986006, 94.7293200551539, 7.42024034733943, 18.5158858789383, 145.077741644769, 3.00664093632444, 298.250865779707, 1.28545354250693, 12.8532499715268, 81.4512618223926, 74.1022886983086, 1.92630638799331, 0.163560047407325, 26.3403915337234, 0.0329389860872933, 479.134844581663}","{40355, 120.884046498352, 110.428228202312, 102.700014679152, -1.16886977031511, 2.22254556559893, 3490.94122782992, 34.0920289890293, 102.397578887232, 7.45827339306895, 13.0477078670463, 137.70922102259, 0.131201744424048, 380.170035819179, 1.42092285811407, 14.2078076582825, 45.3568531209888, 39.8286566723446, 0.772739479072181, 0.134850554583898, 19.9786133590714, 0.0222040227319666, 908.022318876012}"
"{20195, 140.258807769697, 123.263919022182, 110.702479513149, 1.8286907453457, 6.02535175819249, 5260.37390127223, 55.4131894263188, 94.9299969146656, 7.41849497135527, 18.383602273434, 145.10837714347, 3.95991472132916, 314.961980080805, 1.6545663420958, 16.5440088546159, 86.0872614664718, 82.3123552959581, 2.06492500212718, 0.163062849065416, 26.202318016181, 0.0335354113624997, 445.994041054714}","{40355, 115.944354626972, 104.855526060423, 96.6594353807989, -1.05320545047191, 2.20605195997825, 3624.08114272162, 36.1560094333674, 100.234544672318, 7.46198492530916, 12.1172220034401, 137.459107311359, 0.25875796203674, 384.123250489102, 1.85029597984935, 18.5011095025137, 48.8535101056835, 42.698948506267, 1.05276729644254, 0.142982616761198, 18.3367634812594, 0.0216258449695477, 654.239733562336}"
"{20195, 140.858788956859, 126.743114818614, 116.309790455563, 0.294939924143546, 4.83716926012862, 4564.19099869959, 46.0252806901797, 99.1670432044412, 7.42813700509694, 17.2946796694588, 142.490578617297, 0.767833912986544, 352.552203546613, 1.68538448365937, 16.85215945211, 68.4211896057882, 61.1494686800352, 1.57489519493675, 0.16764148415841, 28.2556556056354, 0.0303970417494, 600.918501872488}","{40355, 83.4763050383237, 72.4287942401817, 64.2632427806854, -1.24997920788374, 1.24379631411633, 2657.66463876364, 36.021289556029, 73.780385752981, 7.49214113333107, 9.71265605464998, 130.979913131804, 0.100179489085052, 399.56165076635, 0.785504657204043, 7.85426106738323, 16.1944636329278, 14.0438546305688, 0.86052102157072, 0.0861710902271869, 11.0435913108901, 0.0148672898979814, 492.076705956192}"
